?defined_class	?defined_class_label	?entity	?entity_label
<http://purl.obolibrary.org/obo/HP_3000009>	"Abnormality of nasalis muscle"	<http://purl.obolibrary.org/obo/UBERON_0010953>	"nasalis muscle"
<http://purl.obolibrary.org/obo/HP_3000033>	"Abnormality of nasopharyngeal adenoids"	<http://purl.obolibrary.org/obo/UBERON_0001732>	"pharyngeal tonsil"
<http://purl.obolibrary.org/obo/HP_0012176>	"Abnormality of natural killer cells"	<http://purl.obolibrary.org/obo/CL_0000623>	"natural killer cell"
<http://purl.obolibrary.org/obo/HP_3000037>	"Abnormality of neck blood vessel"	<http://purl.obolibrary.org/obo/UBERON_0003502>	"neck blood vessel"
<http://purl.obolibrary.org/obo/HP_0002269>	"Abnormality of neuronal migration"	<http://purl.obolibrary.org/obo/GO_0001764>	"neuron migration"
<http://purl.obolibrary.org/obo/HP_0040172>	"Abnormality of occipitofrontalis muscle"	<http://purl.obolibrary.org/obo/UBERON_0010946>	"occipitofrontalis muscle"
<http://purl.obolibrary.org/obo/HP_3000050>	"Abnormality of odontoid tissue"	<http://purl.obolibrary.org/obo/UBERON_0010365>	"odontoid tissue"
<http://purl.obolibrary.org/obo/HP_0410006>	"Abnormality of ophthalmic artery"	<http://purl.obolibrary.org/obo/UBERON_0001619>	"ophthalmic artery"
<http://purl.obolibrary.org/obo/HP_0000190>	"Abnormality of oral frenula"	<http://purl.obolibrary.org/obo/UBERON_0006689>	"frenulum of tongue"
<http://purl.obolibrary.org/obo/HP_0011830>	"Abnormality of oral mucosa"	<http://purl.obolibrary.org/obo/UBERON_0003729>	"mouth mucosa"
<http://purl.obolibrary.org/obo/HP_3000010>	"Abnormality of orbicularis oris muscle"	<http://purl.obolibrary.org/obo/UBERON_0010933>	"orbicularis oris muscle"
<http://purl.obolibrary.org/obo/HP_0012025>	"Abnormality of ornithine metabolism"	<http://purl.obolibrary.org/obo/GO_0006591>	"ornithine metabolic process"
<http://purl.obolibrary.org/obo/HP_0010928>	"Abnormality of orotic acid metabolism"	<http://purl.obolibrary.org/obo/GO_1903511>	"orotic acid metabolic process"
<http://purl.obolibrary.org/obo/HP_3000011>	"Abnormality of palatoglossus muscle"	<http://purl.obolibrary.org/obo/UBERON_0001574>	"palatoglossus muscle"
<http://purl.obolibrary.org/obo/HP_3000012>	"Abnormality of palatopharyngeus muscle"	<http://purl.obolibrary.org/obo/UBERON_0010234>	"palatopharyngeus muscle"
<http://purl.obolibrary.org/obo/HP_0045010>	"Abnormality of peripheral nerves"	<http://purl.obolibrary.org/obo/UBERON_0001021>	"nerve"
<http://purl.obolibrary.org/obo/HP_0010977>	"Abnormality of phagocytes"	<http://purl.obolibrary.org/obo/CL_0000518>	
<http://purl.obolibrary.org/obo/HP_0006261>	"Abnormality of phalangeal joints of the hand"	<http://purl.obolibrary.org/obo/UBERON_0007722>	"interphalangeal joint of manus"
<http://purl.obolibrary.org/obo/HP_0005918>	"Abnormality of phalanx of finger"	<http://purl.obolibrary.org/obo/UBERON_0001436>	"phalanx of manus"
<http://purl.obolibrary.org/obo/HP_0010324>	"Abnormality of phalanx of the 2nd toe"	<http://purl.obolibrary.org/obo/UBERON_0003641>	"pedal digit 2 phalanx"
<http://purl.obolibrary.org/obo/HP_0010893>	"Abnormality of phenylalanine metabolism"	<http://purl.obolibrary.org/obo/GO_0006558>	"L-phenylalanine metabolic process"
<http://purl.obolibrary.org/obo/HP_0100529>	"Abnormality of phosphate homeostasis"	<http://purl.obolibrary.org/obo/GO_0055062>	"phosphate ion homeostasis"
<http://purl.obolibrary.org/obo/HP_0011409>	"Abnormality of placental membranes"	<http://purl.obolibrary.org/obo/UBERON_0009002>	"placental membrane"
<http://purl.obolibrary.org/obo/HP_3000013>	"Abnormality of platysma"	<http://purl.obolibrary.org/obo/UBERON_0005467>	"platysma"
<http://purl.obolibrary.org/obo/HP_0011012>	"Abnormality of polysaccharide metabolism"	<http://purl.obolibrary.org/obo/GO_0005976>	"polysaccharide metabolic process"
<http://purl.obolibrary.org/obo/HP_0011076>	"Abnormality of premolar"	<http://purl.obolibrary.org/obo/UBERON_0007120>	"premolar tooth"
<http://purl.obolibrary.org/obo/HP_0001197>	"Abnormality of prenatal development or birth"	<http://purl.obolibrary.org/obo/UBERON_0000323>	"late embryo"
<http://purl.obolibrary.org/obo/HP_3000014>	"Abnormality of procerus muscle"	<http://purl.obolibrary.org/obo/UBERON_0008588>	"procerus"
<http://purl.obolibrary.org/obo/HP_0010907>	"Abnormality of proline metabolism"	<http://purl.obolibrary.org/obo/GO_0006560>	"proline metabolic process"
<http://purl.obolibrary.org/obo/HP_0011023>	"Abnormality of prostaglandin metabolism"	<http://purl.obolibrary.org/obo/GO_0006693>	"prostaglandin metabolic process"
<http://purl.obolibrary.org/obo/HP_0004355>	"Abnormality of proteoglycan metabolism"	<http://purl.obolibrary.org/obo/GO_0006029>	"proteoglycan metabolic process"
<http://purl.obolibrary.org/obo/HP_0004352>	"Abnormality of purine metabolism"	<http://purl.obolibrary.org/obo/GO_0006144>	"purine nucleobase metabolic process"
<http://purl.obolibrary.org/obo/HP_0004353>	"Abnormality of pyrimidine metabolism"	<http://purl.obolibrary.org/obo/GO_0006206>	"pyrimidine nucleobase metabolic process"
<http://purl.obolibrary.org/obo/HP_0010915>	"Abnormality of pyruvate family amino acid metabolism"	<http://purl.obolibrary.org/obo/GO_0009078>	"pyruvate family amino acid metabolic process"
<http://purl.obolibrary.org/obo/HP_0004027>	"Abnormality of radial diaphysis"	<http://purl.obolibrary.org/obo/UBERON_0001028>	"diaphysis of radius"
<http://purl.obolibrary.org/obo/HP_0011036>	"Abnormality of renal excretion"	<http://purl.obolibrary.org/obo/GO_0003014>	"renal system process"
<http://purl.obolibrary.org/obo/HP_0011038>	"Abnormality of renal resorption"	<http://purl.obolibrary.org/obo/GO_0070293>	"renal absorption"
<http://purl.obolibrary.org/obo/HP_0000630>	"Abnormality of retinal arteries"	_:Bgenid10756	
<http://purl.obolibrary.org/obo/HP_0007703>	"Abnormality of retinal pigmentation"	_:Bgenid34352	
<http://purl.obolibrary.org/obo/HP_3000015>	"Abnormality of risorius muscle"	<http://purl.obolibrary.org/obo/UBERON_0008598>	"risorius muscle"
<http://purl.obolibrary.org/obo/HP_0100755>	"Abnormality of salivation"	<http://purl.obolibrary.org/obo/GO_0046541>	"saliva secretion"
<http://purl.obolibrary.org/obo/HP_0010898>	"Abnormality of sarcosine metabolism"	<http://purl.obolibrary.org/obo/GO_1901052>	"sarcosine metabolic process"
<http://purl.obolibrary.org/obo/HP_0010894>	"Abnormality of serine family amino acid metabolism"	<http://purl.obolibrary.org/obo/GO_0009069>	"serine family amino acid metabolic process"
<http://purl.obolibrary.org/obo/HP_0012278>	"Abnormality of serine metabolism"	<http://purl.obolibrary.org/obo/GO_0006563>	"L-serine metabolic process"
<http://purl.obolibrary.org/obo/HP_0000927>	"Abnormality of skeletal maturation"	_:Bgenid12424	
<http://purl.obolibrary.org/obo/HP_0410010>	"Abnormality of somatic nerve plexus"	<http://purl.obolibrary.org/obo/UBERON_0001813>	"spinal nerve plexus"
<http://purl.obolibrary.org/obo/HP_3000016>	"Abnormality of styloglossus muscle"	<http://purl.obolibrary.org/obo/UBERON_0001573>	"styloglossus"
<http://purl.obolibrary.org/obo/HP_0001001>	"Abnormality of subcutaneous fat tissue"	<http://purl.obolibrary.org/obo/UBERON_0002190>	"subcutaneous adipose tissue"
<http://purl.obolibrary.org/obo/HP_0004339>	"Abnormality of sulfur amino acid metabolism"	<http://purl.obolibrary.org/obo/GO_0000096>	"sulfur amino acid metabolic process"
<http://purl.obolibrary.org/obo/HP_0004358>	"Abnormality of superoxide metabolism"	<http://purl.obolibrary.org/obo/GO_0006801>	"superoxide metabolic process"
<http://purl.obolibrary.org/obo/HP_0004370>	"Abnormality of temperature regulation"	<http://purl.obolibrary.org/obo/GO_0001659>	"temperature homeostasis"
<http://purl.obolibrary.org/obo/HP_3000017>	"Abnormality of temporalis muscle"	<http://purl.obolibrary.org/obo/UBERON_0001598>	"temporalis muscle"
<http://purl.obolibrary.org/obo/HP_0010663>	"Abnormality of thalamus morphology"	<http://purl.obolibrary.org/obo/UBERON_0004703>	"dorsal thalamus"
<http://purl.obolibrary.org/obo/HP_0010319>	"Abnormality of the 2nd toe"	<http://purl.obolibrary.org/obo/UBERON_0003632>	"pedal digit 2"
<http://purl.obolibrary.org/obo/HP_0010320>	"Abnormality of the 3rd toe"	<http://purl.obolibrary.org/obo/UBERON_0003633>	"pedal digit 3"
<http://purl.obolibrary.org/obo/HP_0010321>	"Abnormality of the 4th toe"	<http://purl.obolibrary.org/obo/UBERON_0003634>	"pedal digit 4"
<http://purl.obolibrary.org/obo/HP_0010322>	"Abnormality of the 5th toe"	<http://purl.obolibrary.org/obo/UBERON_0003635>	"pedal digit 5"
<http://purl.obolibrary.org/obo/HP_0010789>	"Abnormality of the Leydig cells"	<http://purl.obolibrary.org/obo/CL_0000178>	"Leydig cell"
<http://purl.obolibrary.org/obo/HP_0010991>	"Abnormality of the abdominal musculature"	<http://purl.obolibrary.org/obo/UBERON_0002343>	"abdomen musculature"
<http://purl.obolibrary.org/obo/HP_0004298>	"Abnormality of the abdominal wall"	<http://purl.obolibrary.org/obo/UBERON_0003697>	"abdominal wall"
<http://purl.obolibrary.org/obo/HP_0003170>	"Abnormality of the acetabulum"	<http://purl.obolibrary.org/obo/UBERON_0001269>	"acetabular part of hip bone"
<http://purl.obolibrary.org/obo/HP_0001560>	"Abnormality of the amniotic fluid"	<http://purl.obolibrary.org/obo/UBERON_0000173>	"amniotic fluid"
<http://purl.obolibrary.org/obo/HP_0000593>	"Abnormality of the anterior chamber"	<http://purl.obolibrary.org/obo/UBERON_0001766>	"anterior chamber of eyeball"
<http://purl.obolibrary.org/obo/HP_0011747>	"Abnormality of the anterior pituitary"	<http://purl.obolibrary.org/obo/UBERON_0002196>	"adenohypophysis"
<http://purl.obolibrary.org/obo/HP_0004328>	"Abnormality of the anterior segment of the globe"	<http://purl.obolibrary.org/obo/UBERON_0001801>	"anterior segment of eyeball"
<http://purl.obolibrary.org/obo/HP_0012303>	"Abnormality of the aortic arch"	<http://purl.obolibrary.org/obo/UBERON_0001508>	"arch of aorta"
<http://purl.obolibrary.org/obo/HP_0100700>	"Abnormality of the arachnoid mater"	<http://purl.obolibrary.org/obo/UBERON_0002362>	"arachnoid mater"
<http://purl.obolibrary.org/obo/HP_0100707>	"Abnormality of the astrocytes"	<http://purl.obolibrary.org/obo/CL_0000127>	"astrocyte"
<http://purl.obolibrary.org/obo/HP_0011994>	"Abnormality of the atrial septum"	<http://purl.obolibrary.org/obo/UBERON_0002085>	"interatrial septum"
<http://purl.obolibrary.org/obo/HP_0100134>	"Abnormality of the axillary hair"	<http://purl.obolibrary.org/obo/UBERON_0013699>	"strand of axillary hair"
<http://purl.obolibrary.org/obo/HP_0045052>	"Abnormality of the brachial nerve plexus"	<http://purl.obolibrary.org/obo/UBERON_0001814>	"brachial nerve plexus"
<http://purl.obolibrary.org/obo/HP_0002981>	"Abnormality of the calf"	<http://purl.obolibrary.org/obo/UBERON_0003823>	"hindlimb zeugopod"
<http://purl.obolibrary.org/obo/HP_0001430>	"Abnormality of the calf musculature"	<http://purl.obolibrary.org/obo/UBERON_0004256>	"hindlimb zeugopod muscle"
<http://purl.obolibrary.org/obo/HP_0001671>	"Abnormality of the cardiac septa"	<http://purl.obolibrary.org/obo/UBERON_0002099>	"cardiac septum"
<http://purl.obolibrary.org/obo/HP_0012326>	"Abnormality of the celiac artery"	<http://purl.obolibrary.org/obo/UBERON_0001640>	"celiac artery"
<http://purl.obolibrary.org/obo/HP_0011018>	"Abnormality of the cell cycle"	<http://purl.obolibrary.org/obo/GO_0007049>	"cell cycle"
<http://purl.obolibrary.org/obo/HP_0100717>	"Abnormality of the cementum"	<http://purl.obolibrary.org/obo/UBERON_0001753>	"cementum"
<http://purl.obolibrary.org/obo/HP_0011931>	"Abnormality of the cerebellar peduncle"	<http://purl.obolibrary.org/obo/UBERON_0007416>	"cerebellar peduncle"
<http://purl.obolibrary.org/obo/HP_0100659>	"Abnormality of the cerebral vasculature"	_:Bgenid68854	
<http://purl.obolibrary.org/obo/HP_0002118>	"Abnormality of the cerebral ventricles"	<http://purl.obolibrary.org/obo/UBERON_0004086>	"brain ventricle"
<http://purl.obolibrary.org/obo/HP_0002921>	"Abnormality of the cerebrospinal fluid"	<http://purl.obolibrary.org/obo/UBERON_0001359>	"cerebrospinal fluid"
<http://purl.obolibrary.org/obo/HP_0000056>	"Abnormality of the clitoris"	<http://purl.obolibrary.org/obo/UBERON_0002411>	"clitoris"
<http://purl.obolibrary.org/obo/HP_0010558>	"Abnormality of the clivus"	<http://purl.obolibrary.org/obo/UBERON_0004108>	"clivus of occipital bone"
<http://purl.obolibrary.org/obo/HP_0011396>	"Abnormality of the cochlear nerve"	<http://purl.obolibrary.org/obo/UBERON_0004727>	"cochlear nerve"
<http://purl.obolibrary.org/obo/HP_0010990>	"Abnormality of the common coagulation pathway"	<http://purl.obolibrary.org/obo/GO_0072377>	"blood coagulation, common pathway"
<http://purl.obolibrary.org/obo/HP_0000502>	"Abnormality of the conjunctiva"	<http://purl.obolibrary.org/obo/UBERON_0001811>	"conjunctiva"
<http://purl.obolibrary.org/obo/HP_0000481>	"Abnormality of the cornea"	<http://purl.obolibrary.org/obo/UBERON_0000964>	"cornea"
<http://purl.obolibrary.org/obo/HP_0011642>	"Abnormality of the coronary sinus"	<http://purl.obolibrary.org/obo/UBERON_0005438>	"coronary sinus"
<http://purl.obolibrary.org/obo/HP_0002492>	"Abnormality of the corticospinal tract"	<http://purl.obolibrary.org/obo/UBERON_0002707>	"corticospinal tract"
<http://purl.obolibrary.org/obo/HP_0000919>	"Abnormality of the costochondral junction"	<http://purl.obolibrary.org/obo/UBERON_0002293>	"costochondral joint"
<http://purl.obolibrary.org/obo/HP_0009895>	"Abnormality of the crus of the helix"	<http://purl.obolibrary.org/obo/UBERON_0004106>	"crus of ear"
<http://purl.obolibrary.org/obo/HP_0003889>	"Abnormality of the deltoid tuberosities"	<http://purl.obolibrary.org/obo/UBERON_0002498>	"deltopectoral crest"
<http://purl.obolibrary.org/obo/HP_0006486>	"Abnormality of the dental root"	<http://purl.obolibrary.org/obo/UBERON_0003677>	"tooth root"
<http://purl.obolibrary.org/obo/HP_0100321>	"Abnormality of the dentate nucleus"	<http://purl.obolibrary.org/obo/UBERON_0002132>	"dentate nucleus"
<http://purl.obolibrary.org/obo/HP_0010662>	"Abnormality of the diencephalon"	<http://purl.obolibrary.org/obo/UBERON_0001894>	"diencephalon"
<http://purl.obolibrary.org/obo/HP_0010590>	"Abnormality of the distal femoral epiphysis"	<http://purl.obolibrary.org/obo/UBERON_0004406>	"distal epiphysis of femur"
<http://purl.obolibrary.org/obo/HP_0010595>	"Abnormality of the distal fibular epiphysis"	<http://purl.obolibrary.org/obo/UBERON_0004410>	"distal epiphysis of fibula"
<http://purl.obolibrary.org/obo/HP_0010599>	"Abnormality of the distal humeral epiphysis"	<http://purl.obolibrary.org/obo/UBERON_0004404>	"distal epiphysis of humerus"
<http://purl.obolibrary.org/obo/HP_0010182>	"Abnormality of the distal phalanges of the toes"	<http://purl.obolibrary.org/obo/UBERON_0003867>	"distal phalanx of pes"
<http://purl.obolibrary.org/obo/HP_0009832>	"Abnormality of the distal phalanx of finger"	<http://purl.obolibrary.org/obo/UBERON_0003865>	"distal phalanx of manus"
<http://purl.obolibrary.org/obo/HP_0009542>	"Abnormality of the distal phalanx of the 2nd finger"	<http://purl.obolibrary.org/obo/UBERON_0004311>	"distal phalanx of manual digit 2"
<http://purl.obolibrary.org/obo/HP_0010356>	"Abnormality of the distal phalanx of the 2nd toe"	<http://purl.obolibrary.org/obo/UBERON_0004316>	"distal phalanx of pedal digit 2"
<http://purl.obolibrary.org/obo/HP_0009357>	"Abnormality of the distal phalanx of the 3rd finger"	<http://purl.obolibrary.org/obo/UBERON_0004312>	"distal phalanx of manual digit 3"
<http://purl.obolibrary.org/obo/HP_0010368>	"Abnormality of the distal phalanx of the 3rd toe"	<http://purl.obolibrary.org/obo/UBERON_0004317>	"distal phalanx of pedal digit 3"
<http://purl.obolibrary.org/obo/HP_0009282>	"Abnormality of the distal phalanx of the 4th finger"	<http://purl.obolibrary.org/obo/UBERON_0004313>	"distal phalanx of manual digit 4"
<http://purl.obolibrary.org/obo/HP_0010380>	"Abnormality of the distal phalanx of the 4th toe"	<http://purl.obolibrary.org/obo/UBERON_0004318>	"distal phalanx of pedal digit 4"
<http://purl.obolibrary.org/obo/HP_0004225>	"Abnormality of the distal phalanx of the 5th finger"	<http://purl.obolibrary.org/obo/UBERON_0004314>	"distal phalanx of manual digit 5"
<http://purl.obolibrary.org/obo/HP_0010392>	"Abnormality of the distal phalanx of the 5th toe"	<http://purl.obolibrary.org/obo/UBERON_0004319>	"distal phalanx of pedal digit 5"
<http://purl.obolibrary.org/obo/HP_0010053>	"Abnormality of the distal phalanx of the hallux"	<http://purl.obolibrary.org/obo/UBERON_0004315>	"distal phalanx of pedal digit 1"
<http://purl.obolibrary.org/obo/HP_0010597>	"Abnormality of the distal radial epiphysis"	<http://purl.obolibrary.org/obo/UBERON_0004407>	"distal epiphysis of radius"
<http://purl.obolibrary.org/obo/HP_0010592>	"Abnormality of the distal tibial epiphysis"	<http://purl.obolibrary.org/obo/UBERON_0004405>	"distal epiphysis of tibia"
<http://purl.obolibrary.org/obo/HP_0010600>	"Abnormality of the distal ulnar epiphysis"	<http://purl.obolibrary.org/obo/UBERON_0004408>	"distal epiphysis of ulna"
<http://purl.obolibrary.org/obo/HP_0011397>	"Abnormality of the dorsal column of the spinal cord"	<http://purl.obolibrary.org/obo/UBERON_0005373>	"spinal cord dorsal column"
<http://purl.obolibrary.org/obo/HP_0100889>	"Abnormality of the ductus choledochus"	<http://purl.obolibrary.org/obo/UBERON_0001174>	"common bile duct"
<http://purl.obolibrary.org/obo/HP_0010652>	"Abnormality of the dura mater"	<http://purl.obolibrary.org/obo/UBERON_0002363>	"dura mater"
<http://purl.obolibrary.org/obo/HP_0010825>	"Abnormality of the eleventh cranial nerve"	<http://purl.obolibrary.org/obo/UBERON_0002019>	"accessory XI nerve"
<http://purl.obolibrary.org/obo/HP_0030126>	"Abnormality of the endometrium"	<http://purl.obolibrary.org/obo/UBERON_0001295>	"endometrium"
<http://purl.obolibrary.org/obo/HP_0006263>	"Abnormality of the epiphyses of the 2nd finger"	_:Bgenid30833	
<http://purl.obolibrary.org/obo/HP_0010323>	"Abnormality of the epiphyses of the 2nd toe"	_:Bgenid48586	
<http://purl.obolibrary.org/obo/HP_0009320>	"Abnormality of the epiphyses of the 3rd finger"	_:Bgenid40104	
<http://purl.obolibrary.org/obo/HP_0010329>	"Abnormality of the epiphyses of the 3rd toe"	_:Bgenid48647	
<http://purl.obolibrary.org/obo/HP_0009174>	"Abnormality of the epiphyses of the 4th finger"	_:Bgenid38489	
<http://purl.obolibrary.org/obo/HP_0010335>	"Abnormality of the epiphyses of the 4th toe"	_:Bgenid48707	
<http://purl.obolibrary.org/obo/HP_0009152>	"Abnormality of the epiphyses of the 5th finger"	_:Bgenid38229	
<http://purl.obolibrary.org/obo/HP_0010341>	"Abnormality of the epiphyses of the 5th toe"	_:Bgenid48765	
<http://purl.obolibrary.org/obo/HP_0010243>	"Abnormality of the epiphyses of the distal phalanx of finger"	_:Bgenid47802	
<http://purl.obolibrary.org/obo/HP_0003946>	"Abnormality of the epiphyses of the elbow"	_:Bgenid24611	
<http://purl.obolibrary.org/obo/HP_0010631>	"Abnormality of the epiphyses of the feet"	_:Bgenid50736	
<http://purl.obolibrary.org/obo/HP_0010056>	"Abnormality of the epiphyses of the hallux"	_:Bgenid46066	
<http://purl.obolibrary.org/obo/HP_0005924>	"Abnormality of the epiphyses of the hand"	_:Bgenid30116	
<http://purl.obolibrary.org/obo/HP_0010244>	"Abnormality of the epiphyses of the middle phalanges of the hand"	_:Bgenid47815	
<http://purl.obolibrary.org/obo/HP_0005920>	"Abnormality of the epiphyses of the phalanges of the hand"	<http://purl.obolibrary.org/obo/UBERON_0004387>	"epiphysis of phalanx of manus"
<http://purl.obolibrary.org/obo/HP_0010245>	"Abnormality of the epiphyses of the proximal phalanges of the hand"	_:Bgenid47827	
<http://purl.obolibrary.org/obo/HP_0010160>	"Abnormality of the epiphyses of the toes"	_:Bgenid47064	
<http://purl.obolibrary.org/obo/HP_0010014>	"Abnormality of the epiphysis of the 1st metacarpal"	_:Bgenid45696	
<http://purl.obolibrary.org/obo/HP_0010125>	"Abnormality of the epiphysis of the 1st metatarsal"	<http://purl.obolibrary.org/obo/UBERON_0004395>	"epiphysis of first metatarsal bone"
<http://purl.obolibrary.org/obo/HP_0010220>	"Abnormality of the epiphysis of the 2nd metacarpal"	_:Bgenid47615	
<http://purl.obolibrary.org/obo/HP_0010222>	"Abnormality of the epiphysis of the 3rd metacarpal"	_:Bgenid47629	
<http://purl.obolibrary.org/obo/HP_0010224>	"Abnormality of the epiphysis of the 4th metacarpal"	_:Bgenid47643	
<http://purl.obolibrary.org/obo/HP_0010226>	"Abnormality of the epiphysis of the 5th metacarpal"	_:Bgenid47657	
<http://purl.obolibrary.org/obo/HP_0009499>	"Abnormality of the epiphysis of the distal phalanx of the 2nd finger"	_:Bgenid41827	
<http://purl.obolibrary.org/obo/HP_0100088>	"Abnormality of the epiphysis of the distal phalanx of the 2nd toe"	_:Bgenid64785	
<http://purl.obolibrary.org/obo/HP_0009332>	"Abnormality of the epiphysis of the distal phalanx of the 3rd finger"	_:Bgenid40255	
<http://purl.obolibrary.org/obo/HP_0100091>	"Abnormality of the epiphysis of the distal phalanx of the 3rd toe"	_:Bgenid64821	
<http://purl.obolibrary.org/obo/HP_0009249>	"Abnormality of the epiphysis of the distal phalanx of the 4th finger"	_:Bgenid39367	
<http://purl.obolibrary.org/obo/HP_0100094>	"Abnormality of the epiphysis of the distal phalanx of the 4th toe"	_:Bgenid64857	
<http://purl.obolibrary.org/obo/HP_0009198>	"Abnormality of the epiphysis of the distal phalanx of the 5th finger"	_:Bgenid38737	
<http://purl.obolibrary.org/obo/HP_0100097>	"Abnormality of the epiphysis of the distal phalanx of the 5th toe"	_:Bgenid64893	
<http://purl.obolibrary.org/obo/HP_0010124>	"Abnormality of the epiphysis of the distal phalanx of the hallux"	_:Bgenid46677	
<http://purl.obolibrary.org/obo/HP_0009662>	"Abnormality of the epiphysis of the distal phalanx of the thumb"	_:Bgenid43230	
<http://purl.obolibrary.org/obo/HP_0010574>	"Abnormality of the epiphysis of the femoral head"	_:Bgenid50340	
<http://purl.obolibrary.org/obo/HP_0009500>	"Abnormality of the epiphysis of the middle phalanx of the 2nd finger"	_:Bgenid41839	
<http://purl.obolibrary.org/obo/HP_0100089>	"Abnormality of the epiphysis of the middle phalanx of the 2nd toe"	_:Bgenid64797	
<http://purl.obolibrary.org/obo/HP_0009334>	"Abnormality of the epiphysis of the middle phalanx of the 3rd finger"	_:Bgenid40279	
<http://purl.obolibrary.org/obo/HP_0100092>	"Abnormality of the epiphysis of the middle phalanx of the 3rd toe"	_:Bgenid64833	
<http://purl.obolibrary.org/obo/HP_0009247>	"Abnormality of the epiphysis of the middle phalanx of the 4th finger"	_:Bgenid39343	
<http://purl.obolibrary.org/obo/HP_0100095>	"Abnormality of the epiphysis of the middle phalanx of the 4th toe"	_:Bgenid64869	
<http://purl.obolibrary.org/obo/HP_0004224>	"Abnormality of the epiphysis of the middle phalanx of the 5th finger"	_:Bgenid25413	
<http://purl.obolibrary.org/obo/HP_0100098>	"Abnormality of the epiphysis of the middle phalanx of the 5th toe"	_:Bgenid64907	
<http://purl.obolibrary.org/obo/HP_0009501>	"Abnormality of the epiphysis of the proximal phalanx of the 2nd finger"	_:Bgenid41851	
<http://purl.obolibrary.org/obo/HP_0100090>	"Abnormality of the epiphysis of the proximal phalanx of the 2nd toe"	_:Bgenid64809	
<http://purl.obolibrary.org/obo/HP_0009333>	"Abnormality of the epiphysis of the proximal phalanx of the 3rd finger"	_:Bgenid40267	
<http://purl.obolibrary.org/obo/HP_0100093>	"Abnormality of the epiphysis of the proximal phalanx of the 3rd toe"	_:Bgenid64845	
<http://purl.obolibrary.org/obo/HP_0009248>	"Abnormality of the epiphysis of the proximal phalanx of the 4th finger"	_:Bgenid39355	
<http://purl.obolibrary.org/obo/HP_0100096>	"Abnormality of the epiphysis of the proximal phalanx of the 4th toe"	_:Bgenid64881	
<http://purl.obolibrary.org/obo/HP_0009153>	"Abnormality of the epiphysis of the proximal phalanx of the 5th finger"	_:Bgenid38244	
<http://purl.obolibrary.org/obo/HP_0100099>	"Abnormality of the epiphysis of the proximal phalanx of the 5th toe"	_:Bgenid64921	
<http://purl.obolibrary.org/obo/HP_0010126>	"Abnormality of the epiphysis of the proximal phalanx of the hallux"	_:Bgenid46698	
<http://purl.obolibrary.org/obo/HP_0009663>	"Abnormality of the epiphysis of the proximal phalanx of the thumb"	_:Bgenid43243	
<http://purl.obolibrary.org/obo/HP_0010988>	"Abnormality of the extrinsic pathway"	<http://purl.obolibrary.org/obo/GO_0007598>	"blood coagulation, extrinsic pathway"
<http://purl.obolibrary.org/obo/HP_0000478>	"Abnormality of the eye"	<http://purl.obolibrary.org/obo/UBERON_0010230>	"eyeball of camera-type eye"
<http://purl.obolibrary.org/obo/HP_0011027>	"Abnormality of the fallopian tube"	<http://purl.obolibrary.org/obo/UBERON_0003889>	"fallopian tube"
<http://purl.obolibrary.org/obo/HP_0010653>	"Abnormality of the falx cerebri"	<http://purl.obolibrary.org/obo/UBERON_0006059>	"falx cerebri"
<http://purl.obolibrary.org/obo/HP_0100536>	"Abnormality of the fascia"	<http://purl.obolibrary.org/obo/UBERON_0008982>	"fascia"
<http://purl.obolibrary.org/obo/HP_0010460>	"Abnormality of the female genitalia"	<http://purl.obolibrary.org/obo/UBERON_0000474>	"female reproductive system"
<http://purl.obolibrary.org/obo/HP_0002823>	"Abnormality of the femur"	<http://purl.obolibrary.org/obo/UBERON_0000981>	"femur"
<http://purl.obolibrary.org/obo/HP_0002991>	"Abnormality of the fibula"	<http://purl.obolibrary.org/obo/UBERON_0001446>	"fibula"
<http://purl.obolibrary.org/obo/HP_0010824>	"Abnormality of the fifth cranial nerve"	<http://purl.obolibrary.org/obo/UBERON_0001645>	"trigeminal nerve"
<http://purl.obolibrary.org/obo/HP_0008089>	"Abnormality of the fifth metatarsal bone"	<http://purl.obolibrary.org/obo/UBERON_0003654>	"metatarsal bone of digit 5"
<http://purl.obolibrary.org/obo/HP_0001211>	"Abnormality of the fingertips"	<http://purl.obolibrary.org/obo/UBERON_0009552>	"distal segment of manual digit"
<http://purl.obolibrary.org/obo/HP_0010054>	"Abnormality of the first metatarsal bone"	<http://purl.obolibrary.org/obo/UBERON_0003650>	"metatarsal bone of digit 1"
<http://purl.obolibrary.org/obo/HP_0000235>	"Abnormality of the fontanelles or cranial sutures"	_:Bgenid8175	
<http://purl.obolibrary.org/obo/HP_0040035>	"Abnormality of the fourth metatarsal bone"	<http://purl.obolibrary.org/obo/UBERON_0003653>	"metatarsal bone of digit 4"
<http://purl.obolibrary.org/obo/HP_0010950>	"Abnormality of the fourth ventricle"	<http://purl.obolibrary.org/obo/UBERON_0002422>	"fourth ventricle"
<http://purl.obolibrary.org/obo/HP_0001098>	"Abnormality of the fundus"	<http://purl.obolibrary.org/obo/UBERON_0003951>	"ocular fundus"
<http://purl.obolibrary.org/obo/HP_0011024>	"Abnormality of the gastrointestinal tract"	<http://purl.obolibrary.org/obo/UBERON_0005409>	"alimentary part of gastrointestinal system"
